Candidato,Favorabilidad,Desfavorabilidad,Balance
Sergio Fajardo,42,32,10
Iván Cepeda,42,38,4
Juan Manuel Galán,40,28,12
Abelardo de la Espriella,38,44,-6
Vicky Dávila,38,44,-6
Francia Márquez,36,45,-9
María Fernanda Cabal,35,56,-21
Alejandro Gaviria,35,38,-3
Gustavo Bolívar,34,48,-14
David Luna,32,42,-10
Claudia López,31,45,-14
Juan Daniel Oviedo,31,35,-4
Paloma Valencia,30,48,-18
Germán Vargas Lleras,29,54,-25
Enrique Peñalosa,29,46,-17
Susana Muhamad,28,42,-14
Camilo Romero,26,49,-23
Luis Gilberto Murillo,25,38,-13
Daniel Quintero,23,58,-35
Roy Barreras,21,52,-31
Carlos Caicedo,18,45,-27
