Candidato,Favorabilidad,Desfavorabilidad,Balance
Gustavo Bolívar,34,48,-14
Sergio Fajardo,42,32,10
Vicky Dávila,38,44,-6
Germán Vargas Lleras,29,54,-25
Claudia López,31,45,-14
María Fernanda Cabal,27,56,-29
Miguel Uribe,32,40,-8
Juan Manuel Galán,40,28,12
Daniel Quintero,23,58,-35
María José Pizarro,29,41,-12
Iván Cepeda,28,43,-15
Paloma Valencia,24,48,-24
David Luna,28,42,-14
Alejandro Gaviria,35,38,-3
Juan Daniel Oviedo,23,46,-23
Carlos Caicedo,18,45,-27
Susana Muhammad,22,42,-20
Luis Gilberto Murillo,25,38,-13
Mauricio Lizcano,26,39,-13
Roy Barreras,21,52,-31
