Candidato,Twitter,Instagram,Facebook,Total_Seguidores
Vicky Dávila,1400000,1300000,920400,3620400
Claudia López,1200000,1000000,1300000,3500000
Iván Cepeda,850000,420000,380000,1650000
Gustavo Bolívar,950000,500000,500000,1950000
Daniel Quintero,800000,352100,350000,1502100
Sergio Fajardo,830000,300000,780000,1910000
María Fernanda Cabal,760000,309900,280000,1349900
Abelardo de la Espriella,520000,380000,290000,1190000
Juan Daniel Oviedo,340000,239400,150000,729400
Germán Vargas Lleras,380000,180000,450000,1010000
Juan Manuel Galán,290000,160000,320000,770000
David Luna,250000,140000,200000,590000
Paloma Valencia,320000,185000,175000,680000
Alejandro Gaviria,280000,120000,180000,580000
